ベンダ,"GRAPHTEC Corporation"
モデル,"GL840"
バージョン,"Ver1.61  "
最大CH数,20
GS開始CH,20
WL開始CH,20
RT開始CH,20
WLユニット,Off,Off,Off,Off,Off
RTユニット,Off,Off,Off,Off,Off
RT最大CH,0,0,0,0,0
最大ロジックCH数,4
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
温度単位,C
測定間隔,5min
測定点数,279       
トリガ点,0         
開始時刻,2025-01-09,14:47:51
終了時刻,2025-01-10,14:01:03
トリガ時刻,2025-01-09,14:47:59
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1," CH1","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,5,6,0
CH2," CH2","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],0,13,23,0
CH3," CH3","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],9,22,8,0
CH4," CH4","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],21,0,21,0
CH5," CH5","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,16,2,0
CH6," CH6","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],5,23,30,0
CH7," CH7","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],30,23,1,0
CH11," CH11","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],28,5,6,0
CH12," CH12","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],0,13,23,0
CH13," CH13","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],9,22,8,0
CH14," CH14","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],21,0,21,0
CH15," CH15","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],28,16,2,0
CH16," CH16","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],5,23,30,0
CH17," CH17","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],30,23,1,0
CH18," CH18","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],28,0,17,0
CH19," CH19","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],17,11,7,0
CH20," CH20","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],19,27,0,0
演算設定
CH,左項,演算子,右項,スケーリング,スパン,,単位
測定値
番号,日付/時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,Alarm1-10,Alarm11-20,AlarmOut
        13,2025/01/09 15:47:59,  0,+++++++,+++++++,+ 18.47,+ 42.16,+ 27.33,+ 19.32,-------,+++++++,+ 19.11,+++++++,+ 19.83,+ 19.01,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        14,2025/01/09 15:52:59,  0,+++++++,+++++++,+ 18.60,+ 41.96,+ 27.36,+ 19.29,-------,+++++++,+ 19.14,+++++++,+ 19.81,+ 19.04,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        15,2025/01/09 15:57:59,  0,+++++++,+++++++,+ 18.62,+ 41.54,+ 27.36,+ 19.29,-------,+++++++,+ 19.14,+++++++,+ 19.76,+ 19.04,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        16,2025/01/09 16:02:59,  0,+++++++,+++++++,+ 18.60,+ 41.33,+ 27.20,+ 19.32,-------,+++++++,+ 19.11,+++++++,+ 19.83,+ 19.04,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        17,2025/01/09 16:07:59,  0,+++++++,+++++++,+ 18.37,+ 40.69,+ 26.92,+ 18.91,-------,+++++++,+ 19.09,+++++++,+ 19.78,+ 19.01,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        18,2025/01/09 16:12:59,  0,+++++++,+++++++,+ 18.21,+ 40.40,+ 26.71,+ 18.88,-------,+++++++,+ 19.06,+++++++,+ 19.58,+ 18.96,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        19,2025/01/09 16:17:59,  0,+++++++,+++++++,+ 18.29,+ 40.35,+ 26.84,+ 19.16,-------,+++++++,+ 19.06,+++++++,+ 19.78,+ 18.93,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        20,2025/01/09 16:22:59,  0,+++++++,+++++++,+ 18.37,+ 40.14,+ 26.84,+ 19.11,-------,+++++++,+ 19.06,+++++++,+ 19.76,+ 18.93,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        21,2025/01/09 16:27:59,  0,+++++++,+++++++,+ 18.52,+ 40.22,+ 27.00,+ 19.27,-------,+++++++,+ 19.06,+++++++,+ 19.78,+ 18.96,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        22,2025/01/09 16:32:59,  0,+++++++,+++++++,+ 18.44,+ 39.94,+ 26.92,+ 19.19,-------,+++++++,+ 19.06,+++++++,+ 19.83,+ 18.96,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
