ベンダ,"GRAPHTEC Corporation"
モデル,"GL840"
バージョン,"Ver1.61  "
最大CH数,20
GS開始CH,20
WL開始CH,20
RT開始CH,20
WLユニット,Off,Off,Off,Off,Off
RTユニット,Off,Off,Off,Off,Off
RT最大CH,0,0,0,0,0
最大ロジックCH数,4
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
温度単位,C
測定間隔,5min
測定点数,284       
トリガ点,0         
開始時刻,2024-12-26,16:42:47
終了時刻,2024-12-27,16:17:51
トリガ時刻,2024-12-26,16:42:51
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1," CH1","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,5,6,0
CH2," CH2","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],0,13,23,0
CH3," CH3","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],9,22,8,0
CH4," CH4","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],21,0,21,0
CH5," CH5","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,16,2,0
CH6," CH6","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],5,23,30,0
CH7," CH7","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],30,23,1,0
演算設定
CH,左項,演算子,右項,スケーリング,スパン,,単位
測定値
番号,日付/時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Alarm1-10,Alarm11-20,AlarmOut
        79,2024/12/26 23:12:51,  0,-------,+++++++,+ 18.70,+ 21.38,+ 19.11,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        80,2024/12/26 23:17:51,  0,-------,+++++++,+ 19.32,+ 21.38,+ 19.37,+ 20.71,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        81,2024/12/26 23:22:51,  0,-------,+++++++,+ 18.80,+ 21.48,+ 19.16,+ 20.55,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        82,2024/12/26 23:27:51,  0,-------,+++++++,+ 18.80,+ 21.38,+ 19.35,+ 20.58,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        83,2024/12/26 23:32:51,  0,-------,+++++++,+ 18.93,+ 21.48,+ 19.24,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        84,2024/12/26 23:37:51,  0,-------,+++++++,+ 18.83,+ 21.38,+ 19.32,+ 20.43,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        85,2024/12/26 23:42:51,  0,-------,+++++++,+ 18.83,+ 21.33,+ 19.45,+ 20.43,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        86,2024/12/26 23:47:51,  0,-------,+++++++,+ 18.78,+ 21.40,+ 19.32,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        87,2024/12/26 23:52:51,  0,-------,+++++++,+ 18.80,+ 21.43,+ 19.22,+ 20.37,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        88,2024/12/26 23:57:51,  0,-------,+++++++,+ 18.80,+ 21.48,+ 19.35,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        89,2024/12/27 00:02:51,  0,-------,+++++++,+ 18.83,+ 21.38,+ 19.27,+ 20.37,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
